Path of Exile 指令
/dance				/跳舞
/played				/遊戲時間
/age				/創角時間
/remaining			/剩餘怪物
/deaths				/死亡次數
/pvp				/互鬥
/ladder				/天梯
/oos				/重置位置
/destroy			/摧毀
/whois				/查詢玩家
/help				/提示
/itemlevel			/物品等級
/fixmyhelmet			/修復頭盔模組
/bug				/回報
/debug				/除錯
/ignore				/黑名單
/squelch			/忽略
/unignore			/解除黑名單
/unsquelch			/解除忽略
/clear_ignore_list		/清除黑名單
/status				/狀態
/passives			/天賦
/invite				/邀請
/friend				/加為好友
/unfriend			/解除好友
/accept				/同意好友邀請
/kick				/移出隊伍
/party_description		/隊伍描述
/tradewith			/交易
/cls				/清除對話
/clear				/清除對話
/nochat				/關閉聊天
/togglenochat			/聊天關閉
/autoreply			/自動回覆
/afk				/暫離
/dnd				/勿擾
/donotdisturb			/勿擾模式
/exit				/回到角色選單
/spectate			/觀戰
/town				/離開觀戰
/abandon_daily			/放棄每日
/global				/世界頻道
/trade				/交易頻道
/recheck_achievements		/重新檢查成就
/hideout			/藏身處
/reset_xp			/重置經驗計算
/menagerie			/獸園
/delve				/掘獄
